"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/11/22（火）18:12","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2022/11/22（火）17:57","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/22（火）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/22（火）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/22（火）08:05","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/22（火）06:51","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/21（月）22:24","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/21（月）18:50","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/21（月）18:49","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/21（月）18:07","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/21（月）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/21（月）08:49","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/21（月）08:00","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/21（月）07:07","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/19（土）20:03","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/19（土）18:34","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/19（土）18:07","3階テナント","警備操作","警備開始","-","US00620311","IDカード／キー","○"
"2022/11/19（土）18:07","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","○"
"2022/11/19（土）18:03","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/19（土）17:57","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/19（土）15:07","1Fサーバールーム","空室検索","空室","-","","","-"
