"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/03/25（金）08:19","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/24（木）18:54","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/03/24（木）18:14","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/24（木）18:14","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/24（木）18:01","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/24（木）17:58","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/24（木）09:43","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/24（木）09:01","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/24（木）08:45","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/24（木）08:24","3階テナント","警備操作","警備解除","-","US00620304","IDカード／キー","○"
"2022/03/23（水）19:12","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/23（水）18:44","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/23（水）18:16","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/03/23（水）18:16","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/03/23（水）18:11","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/03/23（水）09:42","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/23（水）08:44","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/23（水）08:36","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
