"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2023/02/21（火）22:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/21（火）22:01","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/21（火）18:28","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/21（火）18:17","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/21（火）11:52","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/21（火）10:11","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/21（火）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/21（火）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/21（火）08:26","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/02/21（火）08:16","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
