"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/08/22（月）19:19","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/08/22（月）18:47","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/22（月）16:40","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/22（月）09:59","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/22（月）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/22（月）08:26","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","-"
"2022/08/22（月）08:09","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/20（土）19:42","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/20（土）18:03","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/20（土）17:57","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/20（土）09:51","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/20（土）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/20（土）08:38","3階テナント","警備操作","警備解除","-","US00620309","IDカード／キー","-"
"2022/08/20（土）08:03","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/19（金）20:56","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/19（金）20:25","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/19（金）18:49","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/19（金）18:17","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","-"
"2022/08/19（金）17:19","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/19（金）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/19（金）09:02","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/19（金）08:26","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","-"
