"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/04/25（月）18:25","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/04/25（月）09:35","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/25（月）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/04/25（月）08:47","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/04/25（月）08:11","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/04/23（土）18:45","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/04/23（土）18:20","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/04/23（土）18:03","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/04/23（土）08:55","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/04/23（土）08:46","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","-"
"2022/04/23（土）07:57","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/04/22（金）18:58","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/04/22（金）18:36","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/04/22（金）18:35","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","-"
"2022/04/22（金）10:27","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/22（金）08:56","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/04/22（金）08:52","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","-"
"2022/04/22（金）08:40","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/04/21（木）19:47","4階テナント","警備操作","警備開始","-","US00620317","IDカード／キー","-"
"2022/04/21（木）18:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/21（木）18:33","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/04/21（木）18:23","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/04/21（木）09:43","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/21（木）08:59","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/04/21（木）08:09","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/04/21（木）06:51","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/04/20（水）19:59","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/04/20（水）19:48","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/04/20（水）19:22","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/04/20（水）19:18","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/04/20（水）18:17","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
